Merchant Name,Integration Type,3DS,Non-3DS,CyberSource,MPGS,Tabby,ID,Key,Authorized
Agg Hosted - Cyber - Tabby -Mix 3Ds - 18133323,Aggregator Hosted,yes,yes,yes,no,yes,202103180008,FYMk9VKXRoZJZ1QMV4kVs9bxQBUJ70rGVlHsksHTg7s=,Yes
Agg Hosted - MPGS - Tabby -Mix 3Ds - 18133425,Aggregator Hosted,yes,yes,no,yes,yes,202103180009,F8v9r5Z3FkOWLR/wA4R5S9yWvmi97c/VPSj2XcQvNL0=,Yes
JS Checkout - Cyber - Tabby -Mix 3Ds - 18133528,JS Checkout,yes,yes,yes,no,yes,202103180010,Pnf2+/Bn/ZGd9TrxCLtKZSUSSWovEptWx6QL5GDUO1Y=,No
JS Checkout - MPGS - Tabby -Mix 3Ds - 18133631,JS Checkout,yes,yes,no,yes,yes,202103180011,rNH/mNNSPqxTzv7g0v/vZZ1mRane5IoC8bHgMAW9UaQ=,Yes
